id,examples,features,classes,top class,LR test,SVC test,GB test,RF test,LR train,SVC train,GB train,RF train
1099,150,4,5,20.0%,+9.3%,+11.3%,+2.7%,+3.3%,+15.8%,+30.4%,+80.0%,+80.0%
1228,144,76,2,66.7%,+4.1%,+7.7%,+17.3%,+16.0%,+31.9%,+28.5%,+33.3%,+33.3%
524,418,19,3,55.5%,+22.2%,+21.3%,+15.6%,+18.9%,+27.3%,+30.8%,+44.5%,+44.5%
328,105,11,6,41.9%,+22.3%,+24.1%,+27.8%,+20.1%,+32.1%,+37.4%,+58.1%,+58.1%
1029,1000,4,5,40.3%,+17.7%,+23.0%,+22.7%,+22.1%,+18.8%,+24.7%,+26.7%,+26.8%
42900,116,9,2,55.2%,+11.9%,+11.6%,+18.9%,+15.4%,+24.7%,+33.2%,+44.8%,+44.8%
40647,1600,20,2,50.0%,-0.9%,+17.9%,+21.9%,+18.7%,+4.3%,+33.3%,+31.4%,+49.8%
40649,1600,20,2,50.0%,-0.5%,+13.1%,+12.4%,+11.8%,+3.7%,+32.6%,+26.6%,+50.0%
40650,1600,20,2,50.0%,-0.2%,+14.7%,+15.9%,+13.1%,+4.4%,+33.5%,+28.7%,+50.0%
40700,392,7,3,62.5%,+12.8%,+12.0%,+23.2%,+24.7%,+14.7%,+15.8%,+37.5%,+37.5%
40663,399,32,5,24.1%,+30.0%,+28.3%,+33.0%,+34.8%,+42.2%,+51.9%,+71.7%,+72.4%
40664,1728,21,4,70.0%,+11.8%,+18.3%,+17.4%,+13.7%,+20.2%,+28.8%,+29.3%,+30.0%
40706,1124,10,2,50.4%,-8.3%,-21.1%,-21.4%,+11.3%,+1.2%,+7.6%,+4.8%,+49.6%
40686,315,12,5,27.9%,+37.8%,+39.6%,+44.1%,+45.1%,+45.6%,+52.3%,+60.6%,+61.7%
41977,156,90,2,62.8%,-0.2%,+5.7%,+14.0%,+8.7%,+25.6%,+22.4%,+37.2%,+37.2%
42544,265,10,8,17.7%,+51.3%,+59.3%,+54.7%,+62.2%,+60.1%,+69.0%,+82.3%,+82.3%
43029,699,56,5,56.9%,+7.9%,+10.3%,+15.5%,+8.8%,+35.6%,+36.5%,+43.0%,+43.1%
784,140,3,2,50.0%,+10.7%,+5.0%,+7.9%,+9.3%,+23.1%,+29.6%,+50.0%,+50.0%
779,500,25,2,53.4%,+12.0%,+15.4%,+34.8%,+33.4%,+16.3%,+37.6%,+46.6%,+46.6%
775,100,25,2,57.0%,+14.0%,+14.0%,+26.0%,+29.0%,+24.6%,+37.4%,+43.0%,+43.0%
783,100,10,2,60.0%,-4.0%,-3.0%,+27.0%,+20.0%,+6.4%,+25.4%,+40.0%,+40.0%
776,250,5,2,50.0%,+30.4%,+37.6%,+36.0%,+36.0%,+31.9%,+43.0%,+50.0%,+50.0%
801,185,2,2,53.0%,+10.9%,+11.1%,-8.0%,-11.1%,+13.3%,+16.5%,+41.7%,+46.4%
811,264,2,2,61.7%,+10.3%,+12.4%,+26.1%,+20.0%,+13.2%,+22.8%,+38.2%,+38.3%
805,500,50,2,52.8%,+11.0%,+8.8%,+35.0%,+32.2%,+20.2%,+42.6%,+47.2%,+47.2%
806,1000,50,2,55.5%,+12.0%,+13.0%,+34.1%,+31.5%,+16.4%,+35.7%,+44.4%,+44.5%
812,100,25,2,53.0%,+12.0%,+15.0%,+35.0%,+28.0%,+27.8%,+44.7%,+47.0%,+47.0%
813,1000,5,2,56.3%,+9.2%,+34.1%,+34.0%,+34.0%,+9.9%,+35.1%,+42.7%,+43.7%
955,151,5,2,65.6%,-0.0%,+6.5%,+14.4%,+15.8%,+5.7%,+12.8%,+30.8%,+32.6%
1484,126,310,2,66.7%,+12.7%,+16.8%,+14.4%,+18.4%,+33.3%,+26.7%,+33.3%,+33.3%
1488,195,22,2,75.4%,+5.4%,+10.1%,+11.6%,+8.1%,+12.4%,+14.7%,+24.6%,+24.6%
475,400,5,4,25.0%,+18.2%,+11.2%,+26.0%,+22.2%,+19.4%,+13.4%,+49.1%,+61.5%
329,160,4,3,40.6%,+12.5%,+41.2%,+40.6%,+41.2%,+15.3%,+46.9%,+51.1%,+51.1%
444,132,3,2,53.8%,+10.9%,+13.3%,+15.2%,+4.9%,+13.2%,+24.2%,+41.9%,+46.2%
334,601,6,2,65.7%,-3.5%,+4.3%,+17.1%,+28.4%,-1.6%,+16.4%,+27.4%,+34.3%
873,250,50,2,56.8%,+0.8%,+1.6%,+34.4%,+21.6%,+18.4%,+39.4%,+43.2%,+43.2%
876,100,50,2,56.0%,+2.0%,+4.0%,+24.0%,+10.0%,+34.6%,+42.2%,+44.0%,+44.0%
877,250,50,2,54.8%,+13.2%,+16.0%,+31.6%,+26.4%,+27.7%,+42.3%,+45.2%,+45.2%
868,100,25,2,54.0%,+17.0%,+17.0%,+19.0%,+25.0%,+30.0%,+40.9%,+46.0%,+46.0%
869,500,10,2,57.2%,+14.0%,+20.2%,+35.0%,+33.8%,+16.2%,+28.0%,+42.8%,+42.8%
870,500,5,2,53.4%,+12.0%,+33.8%,+37.0%,+36.0%,+12.5%,+37.8%,+46.5%,+46.6%
875,100,3,2,81.0%,+1.0%,+8.0%,+10.0%,+8.0%,+4.9%,+10.1%,+19.0%,+19.0%
941,189,9,2,52.4%,+29.7%,+29.7%,+26.0%,+24.4%,+32.2%,+34.5%,+46.4%,+47.6%
937,500,50,2,56.4%,+6.4%,+6.2%,+32.0%,+29.4%,+16.4%,+37.9%,+43.6%,+43.6%
932,100,50,2,56.0%,-13.0%,-4.0%,+24.0%,+13.0%,+28.3%,+41.6%,+44.0%,+44.0%
933,250,25,2,54.4%,+4.8%,+11.2%,+31.2%,+28.0%,+15.3%,+36.4%,+45.6%,+45.6%
936,500,10,2,54.4%,+8.8%,+18.0%,+33.6%,+36.4%,+11.5%,+31.7%,+45.5%,+45.6%
935,250,10,2,56.0%,+13.6%,+13.2%,+32.0%,+32.0%,+15.5%,+28.5%,+44.0%,+44.0%
